Data Posição;Data Chegada;Ignição;Odômetro;Horímetro;RPM;T1;T2;T3;US;TS;TD1;TD2;TD3;UD1;UD2;UD3;Memória;Satelital;Ponto de Ref. Embarcado;Ponto de Referência;Sensores Inibidos;S. em modo seguro;A. em modo seguro;Cidade;UF
20/10/2025 13:52:53;20/10/2025 13:52:53;SIM;683348,6;12875h 35m;0;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:50:22;20/10/2025 13:50:23;NAO;683348,6;12875h 35m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:46:22;20/10/2025 13:46:23;NAO;683348,6;12875h 35m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:42:22;20/10/2025 13:42:23;NAO;683348,6;12875h 35m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:38:22;20/10/2025 13:38:24;NAO;683348,6;12875h 35m;0;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:34:22;20/10/2025 13:34:23;NAO;683348,6;12875h 35m;0;-11;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:30:22;20/10/2025 13:30:23;NAO;683348,6;12875h 35m;0;-8;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:27:16;20/10/2025 13:27:17;NAO;683348,6;12875h 35m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:26:56;20/10/2025 13:26:57;NAO;683348,6;12875h 35m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:26:22;20/10/2025 13:26:23;NAO;683348,6;12875h 35m;0;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:25:20;20/10/2025 13:25:21;NAO;683348,6;12875h 35m;0;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:25:02;20/10/2025 13:25:02;NAO;683348,6;12875h 35m;0;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:22:25;20/10/2025 13:22:56;NAO;683348,6;12875h 35m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:22:23;20/10/2025 13:22:23;NAO;683348,6;12875h 35m;568;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:22:15;20/10/2025 13:22:16;SIM;683348,6;12875h 35m;563;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:21:52;20/10/2025 13:21:53;SIM;683348,6;12875h 34m;566;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:21:30;20/10/2025 13:21:30;SIM;683348,6;12875h 34m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:21:05;20/10/2025 13:21:06;NAO;683348,6;12875h 34m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:17:05;20/10/2025 13:17:07;NAO;683348,6;12875h 34m;0;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:13:05;20/10/2025 13:13:06;NAO;683348,6;12875h 34m;0;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:09:52;20/10/2025 13:09:53;NAO;683348,6;12875h 34m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:09:48;20/10/2025 13:09:49;NAO;683348,6;12875h 34m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:09:05;20/10/2025 13:09:06;NAO;683348,6;12875h 34m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:05:05;20/10/2025 13:05:07;NAO;683348,6;12875h 34m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:01:05;20/10/2025 13:01:06;NAO;683348,6;12875h 34m;0;1;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 12:57:05;20/10/2025 12:57:07;NAO;683348,6;12875h 34m;0;1;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 12:53:05;20/10/2025 12:53:06;NAO;683348,6;12875h 34m;0;-1;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
